player_name,player_position,height,nationality,date_of_birth,weight
Andriy Yarmolenko,Forward,189cm,Ukraine,23/10/1989,81
Cucho HernÃ¡ndez,Forward,176cm,Colombia,20/04/1999,73
Lukas Nmecha,Forward,185cm,Germany,14/12/1998,
Liam Hughes,Goalkeeper,,Northern Ireland,19/08/2001,
Kjell Scherpen,Goalkeeper,204cm,Netherlands,23/01/2000,98
Ã‰douard Mendy,Goalkeeper,197cm,Senegal,01/03/1992,86
Jakub Stolarczyk,Goalkeeper,,Poland,19/12/2000,
Thanawat Suengchitthawon,Midfielder,,Thailand,08/01/2000,
Juraj Kucka,Midfielder,186cm,Slovakia,26/02/1987,86
Harry Lewis,Goalkeeper,191cm,England,20/12/1997,77
Stephen Henderson,Goalkeeper,193cm,Ireland,02/05/1988,
Jarrad Branthwaite,Defender,195cm,England,27/06/2002,82
Ederson,Goalkeeper,188cm,Brazil,17/08/1993,86
HÃ©ctor BellerÃ­n,Defender,178cm,Spain,19/03/1995,
Kasper Schmeichel,Goalkeeper,189cm,Denmark,05/11/1986,89
Jaroslaw Jach,Defender,192cm,Poland,17/02/1994,
Emerson Royal,Defender,181cm,Brazil,14/01/1999,79
Ozan Tufan,Midfielder,179cm,Turkey,23/03/1995,
Liam McCarron,Midfielder,175cm,Scotland,07/03/2001,
Anthony Georgiou,Midfielder,179cm,Cyprus,24/02/1997,
MoisÃ©s Caicedo,Midfielder,178cm,Ecuador,02/11/2001,73
JuliÃ¡n Ãlvarez,Forward,173cm,Argentina,31/01/2000,
Sam Waller,Goalkeeper,,England,09/09/2003,
David Button,Goalkeeper,191cm,England,27/02/1989,
CristiÃ¡n Cuevas,Defender,173cm,Chile,02/04/1995,
Harvey Blair,Forward,,England,14/09/2003,
Mesut Ã–zil,Midfielder,180cm,Germany,15/10/1988,
Steven Davis,Midfielder,173cm,Northern Ireland,01/01/1985,
Toni MartÃ­nez,Forward,180cm,Spain,30/06/1997,
Bobby Thomas,Defender,,England,30/01/2001,
Tim Ream,Defender,186cm,United States,05/10/1987,
Kenny Tete,Defender,180cm,Netherlands,09/10/1995,
Dejan Lovren,Defender,188cm,Croatia,05/07/1989,
Jack Bycroft,Goalkeeper,,England,21/09/2001,
Wanya MarÃ§al-Madivadua,Midfielder,,Portugal,19/10/2002,
JoÃ£o VirgÃ­nia,Goalkeeper,198cm,Portugal,10/10/1999,
Emmanuel Dennis,Forward,175cm,Nigeria,15/11/1997,67
Marko Grujic,Midfielder,191cm,Serbia,13/04/1996,
Joseph Hardy,Forward,170cm,England,26/09/1998,
Bruno,Defender,181cm,Spain,01/10/1980,
Olarenwaju Kayode,Forward,176cm,Nigeria,08/05/1993,
Jakub Ojrzynski,Goalkeeper,,Poland,19/02/2003,
Percy Tau,Forward,175cm,South Africa,13/05/1994,
Cameron Humphreys-Grant,Defender,185cm,England,22/08/1998,
Maarten Stekelenburg,Goalkeeper,197cm,Netherlands,22/09/1982,
Henri Saivet,Midfielder,174cm,Senegal,26/10/1990,
Mark Travers,Goalkeeper,191cm,Ireland,18/05/1999,
Bernardo,Defender,186cm,Brazil,14/05/1995,
Danny Ings,Forward,178cm,England,23/07/1992,73
Antonio Barreca,Defender,180cm,Italy,18/03/1995,
Vicente Guaita,Goalkeeper,190cm,Spain,10/01/1987,81
